course_id,module_id,question_id,question,type,answer_focus
ASTI,ASTI-M8,ASTI-M8-Q2,Which evidence should trigger immediate support rather than waiting for a test?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ASTI,ASTI-M8,ASTI-M8-Q3,"How does this module demonstrate learner agency, wellbeing or equity?",short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ASTI,ASTI-M8,ASTI-M8-Q4,What is the best next step after a failed verification check?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M1,SELD-M1-Q1,Which teacher action best protects learner dignity while providing support?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M1,SELD-M1-Q2,Which evidence should trigger immediate support rather than waiting for a test?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M1,SELD-M1-Q3,"How does this module demonstrate learner agency, wellbeing or equity?",short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M1,SELD-M1-Q4,What is the best next step after a failed verification check?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M2,SELD-M2-Q1,Which teacher action best protects learner dignity while providing support?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M2,SELD-M2-Q2,Which evidence should trigger immediate support rather than waiting for a test?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M2,SELD-M2-Q3,"How does this module demonstrate learner agency, wellbeing or equity?",short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M2,SELD-M2-Q4,What is the best next step after a failed verification check?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M3,SELD-M3-Q1,Which teacher action best protects learner dignity while providing support?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M3,SELD-M3-Q2,Which evidence should trigger immediate support rather than waiting for a test?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M3,SELD-M3-Q3,"How does this module demonstrate learner agency, wellbeing or equity?",short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M3,SELD-M3-Q4,What is the best next step after a failed verification check?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M4,SELD-M4-Q1,Which teacher action best protects learner dignity while providing support?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M4,SELD-M4-Q2,Which evidence should trigger immediate support rather than waiting for a test?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M4,SELD-M4-Q3,"How does this module demonstrate learner agency, wellbeing or equity?",short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M4,SELD-M4-Q4,What is the best next step after a failed verification check?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M5,SELD-M5-Q1,Which teacher action best protects learner dignity while providing support?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M5,SELD-M5-Q2,Which evidence should trigger immediate support rather than waiting for a test?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M5,SELD-M5-Q3,"How does this module demonstrate learner agency, wellbeing or equity?",short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M5,SELD-M5-Q4,What is the best next step after a failed verification check?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M6,SELD-M6-Q1,Which teacher action best protects learner dignity while providing support?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M6,SELD-M6-Q2,Which evidence should trigger immediate support rather than waiting for a test?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M6,SELD-M6-Q3,"How does this module demonstrate learner agency, wellbeing or equity?",short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M6,SELD-M6-Q4,What is the best next step after a failed verification check?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M7,SELD-M7-Q1,Which teacher action best protects learner dignity while providing support?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M7,SELD-M7-Q2,Which evidence should trigger immediate support rather than waiting for a test?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M7,SELD-M7-Q3,"How does this module demonstrate learner agency, wellbeing or equity?",short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M7,SELD-M7-Q4,What is the best next step after a failed verification check?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M8,SELD-M8-Q1,Which teacher action best protects learner dignity while providing support?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M8,SELD-M8-Q2,Which evidence should trigger immediate support rather than waiting for a test?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M8,SELD-M8-Q3,"How does this module demonstrate learner agency, wellbeing or equity?",short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SELD,SELD-M8,SELD-M8-Q4,What is the best next step after a failed verification check?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SISU-101,SISU-101-M1,SISU-101-M1-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SISU-101,SISU-101-M1,SISU-101-M1-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SISU-101,SISU-101-M1,SISU-101-M1-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SISU-101,SISU-101-M2,SISU-101-M2-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SISU-101,SISU-101-M2,SISU-101-M2-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SISU-101,SISU-101-M2,SISU-101-M2-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SISU-101,SISU-101-M3,SISU-101-M3-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SISU-101,SISU-101-M3,SISU-101-M3-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SISU-101,SISU-101-M3,SISU-101-M3-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SISU-101,SISU-101-M4,SISU-101-M4-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SISU-101,SISU-101-M4,SISU-101-M4-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
SISU-101,SISU-101-M4,SISU-101-M4-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ECE-ACC-201,ECE-ACC-201-M1,ECE-ACC-201-M1-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ECE-ACC-201,ECE-ACC-201-M1,ECE-ACC-201-M1-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ECE-ACC-201,ECE-ACC-201-M1,ECE-ACC-201-M1-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ECE-ACC-201,ECE-ACC-201-M2,ECE-ACC-201-M2-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ECE-ACC-201,ECE-ACC-201-M2,ECE-ACC-201-M2-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ECE-ACC-201,ECE-ACC-201-M2,ECE-ACC-201-M2-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ECE-ACC-201,ECE-ACC-201-M3,ECE-ACC-201-M3-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ECE-ACC-201,ECE-ACC-201-M3,ECE-ACC-201-M3-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ECE-ACC-201,ECE-ACC-201-M3,ECE-ACC-201-M3-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ECE-ACC-201,ECE-ACC-201-M4,ECE-ACC-201-M4-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ECE-ACC-201,ECE-ACC-201-M4,ECE-ACC-201-M4-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
ECE-ACC-201,ECE-ACC-201-M4,ECE-ACC-201-M4-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
CCE-SD-301,CCE-SD-301-M1,CCE-SD-301-M1-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
CCE-SD-301,CCE-SD-301-M1,CCE-SD-301-M1-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
CCE-SD-301,CCE-SD-301-M1,CCE-SD-301-M1-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
CCE-SD-301,CCE-SD-301-M2,CCE-SD-301-M2-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
CCE-SD-301,CCE-SD-301-M2,CCE-SD-301-M2-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
CCE-SD-301,CCE-SD-301-M2,CCE-SD-301-M2-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
CCE-SD-301,CCE-SD-301-M3,CCE-SD-301-M3-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
CCE-SD-301,CCE-SD-301-M3,CCE-SD-301-M3-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
CCE-SD-301,CCE-SD-301-M3,CCE-SD-301-M3-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
CCE-SD-301,CCE-SD-301-M4,CCE-SD-301-M4-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
CCE-SD-301,CCE-SD-301-M4,CCE-SD-301-M4-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
CCE-SD-301,CCE-SD-301-M4,CCE-SD-301-M4-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
AI-SCH-401,AI-SCH-401-M1,AI-SCH-401-M1-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
AI-SCH-401,AI-SCH-401-M1,AI-SCH-401-M1-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
AI-SCH-401,AI-SCH-401-M1,AI-SCH-401-M1-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
AI-SCH-401,AI-SCH-401-M2,AI-SCH-401-M2-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
AI-SCH-401,AI-SCH-401-M2,AI-SCH-401-M2-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
AI-SCH-401,AI-SCH-401-M2,AI-SCH-401-M2-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
AI-SCH-401,AI-SCH-401-M3,AI-SCH-401-M3-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
AI-SCH-401,AI-SCH-401-M3,AI-SCH-401-M3-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
AI-SCH-401,AI-SCH-401-M3,AI-SCH-401-M3-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
AI-SCH-401,AI-SCH-401-M4,AI-SCH-401-M4-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
AI-SCH-401,AI-SCH-401-M4,AI-SCH-401-M4-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
AI-SCH-401,AI-SCH-401-M4,AI-SCH-401-M4-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
FIN-IMM-501,FIN-IMM-501-M1,FIN-IMM-501-M1-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
FIN-IMM-501,FIN-IMM-501-M1,FIN-IMM-501-M1-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
FIN-IMM-501,FIN-IMM-501-M1,FIN-IMM-501-M1-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
FIN-IMM-501,FIN-IMM-501-M2,FIN-IMM-501-M2-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
FIN-IMM-501,FIN-IMM-501-M2,FIN-IMM-501-M2-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
FIN-IMM-501,FIN-IMM-501-M2,FIN-IMM-501-M2-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
FIN-IMM-501,FIN-IMM-501-M3,FIN-IMM-501-M3-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
FIN-IMM-501,FIN-IMM-501-M3,FIN-IMM-501-M3-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
FIN-IMM-501,FIN-IMM-501-M3,FIN-IMM-501-M3-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
FIN-IMM-501,FIN-IMM-501-M4,FIN-IMM-501-M4-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
FIN-IMM-501,FIN-IMM-501-M4,FIN-IMM-501-M4-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
FIN-IMM-501,FIN-IMM-501-M4,FIN-IMM-501-M4-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
PHBL-601,PHBL-601-M1,PHBL-601-M1-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
PHBL-601,PHBL-601-M1,PHBL-601-M1-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
PHBL-601,PHBL-601-M1,PHBL-601-M1-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
PHBL-601,PHBL-601-M2,PHBL-601-M2-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
PHBL-601,PHBL-601-M2,PHBL-601-M2-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
PHBL-601,PHBL-601-M2,PHBL-601-M2-Q3,Which claim would be unsafe or misleading in public marketing?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
PHBL-601,PHBL-601-M3,PHBL-601-M3-Q1,Which action best reflects Finnish-inspired practice?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
PHBL-601,PHBL-601-M3,PHBL-601-M3-Q2,What evidence shows learning or implementation quality?,short_answer_or_mcq,"Evidence, equity, wellbeing, agency, formative response or practical implementation."
